1,2073,Acrylic Block Bi-concave,2,,
2,2073,Acrylic Block Rectangular,11,,
3,2073,Acrylic Block Semicircular,13,,
4,2073,Acrylic Block Trapezoidal,2,,
5,1092,Adjustable Bench,1,,
6,2073,Air Glide/ Puck Soccer,7,,
7,2073,Air Pump Joe blow sport,4,,
8,2073,Air Source,1,,
9,2073,Air Table,1,,
10,2073,Air Zooka,1,,
11,2073,Altitude Finder,2,,
12,1091,Ammeter AC,6,,
13,1091,Ammeter DC,23,,
14,1091,Ammeter Micro uA,19,,
15,1090,Balance Electronic OHAUS Adventurer,1,,
16,1091,Balance Electronic OHAUS Adventurer,1,,
17,2073,Balance Electronic Shimadzu,2,,
18,2073,Balance Personal,1,,
19,2073,Balance Triple Beam Ohaus,2,,
20,2073,Ballistic Pendulum,1 set,,
21,2073,Ballistics Car,1,,
22,1091,Bar Holders,8,,
23,2073,Basic Polarization set,2,,
24,1091,Battery Holders Single,58,,
25,1091,Battery Packs,20,,
26,1090,Beaker 100 ml.,8,,
27,1091,Beaker 100 ml.,8,,
28,1090,Beaker 600 ml.,8,,
29,1091,Beaker 600 ml.,8,,
30,2073,Bicycle Wheel,1,,
31,1091,Bismuth Levitation Kit Superconductivity,1,,
32,2073,Bourdon Gauge,1,,
33,2073,Boyle's Law Apparatus (Elasticity of Gases Apparatus),3,,
34,1090,Boyle's Law Apparatus Philip Harris (Pressure Gauge),1,,
35,2073,Breadboard,20,,
36,2073,BRODER Logic Trainer,1,,
37,1090,Bunsen Burners,15,,
38,1091,Bunsen Burners,10,,
39,1092,Calorimeters,19,,
40,1090,Camera Stand,1,,
41,1092,Cans Radiation,9,,
42,2073,Capacitor Simple Form,2,,
43,1091,Capacitors Assorted,1 box,,
44,2073,Capillary Tube Set And Reservoir Mounted,2,,
45,1091,Cathode Ray Tube,4,,
46,1090,C-Clamps,6,,
47,1091,C-Clamps,7,,
48,2073,Centrifugal Force Apparatus,1,,
49,2073,Centrifugal Hoops,1,,
50,2073,Centripetal Force Apparatus,1,,
51,2073,Charles' Law Demo,1,,
52,1090,Climbing Rope,1,,
53,1091,Clip Holders,13,,
54,1091,Coil Spring,3,,
55,1090,Coil Induction,8,,
56,1091,Coil Induction,6,,
57,2073,Collision In Two Dimensions Apparatus,10,,
58,2073,Colour Filters Set of 6,0,,
59,2073,Compass,40,,
60,1091,Connecting Wires Alligator Clips,208,,
61,1091,Connecting Wires Banana Plugs,42,,
62,2073,Coriolis Effect Wheel & Foucault Pendulum (Projection),1,,
63,1091,Craft Knives,12,,
64,1090,Crucible Tong,8,,
65,1091,Crucible Tong,8,,
66,1091,Dewar Flask (N2) Taylor-Wheaton,1,,
67,2073,Diffraction Grating Nuffield Physics,2 sets,,
68,2073,Doppler Ball,2,,
69,2073,Doppler Ball ,2,,
70,1091,Dynamics Cars,11,,
71,1091,Dynamics Track Spring Set,1,,
72,2073,e/m Apparatus,1,,
73,2073,e/m Apparatus USHIDA,1,,
74,1092,Electric Coils (for Calorimeter),9,,
75,2073,Electromagnet,4,,
